landing_date,vessel_id,sps_code,management_group,FTID,gear_code,port_code,landed_weight_lbs,price_per_pound,grade
6/23/18,10001,CHNK,SAMN,XX1000,TLS,PRN,100,4,L
6/23/18,10001,CHNK,SAMN,XX1000,TLS,PRN,25,3.75,S
6/24/18,10002,SABL,GRND,XX1001,TWL,ERK,34,2.8,L
6/24/18,10002,DOVR,GRND,XX1001,TWL,ERK,300,0.28,U
6/24/18,10002,LSPN,GRND,XX1001,TWL,ERK,180,0.8,U
6/24/18,10002,SSPN,GRND,XX1001,TWL,ERK,120,0.5,U
6/24/18,10002,PTRL,GRND,XX1002,TWL,ERK,250,1.1,U
6/24/18,10002,SSOL,GRND,XX1002,TWL,ERK,55,0.4,U
8/2/18,10003,CLPR,GRND,XX5004,TWL,MNT,250,0.75,U
8/2/18,10003,PTRL,GRND,XX5004,TWL,MNT,100,1.2,U
8/2/18,10003,DOVR,GRND,XX5005,TWL,MNT,600,0.28,U
8/12/18,10004,CHNK,SAMN,XX7007,TLS,AST,150,3.5,L
8/14/18,10004,CHNK,SAMN,XX8008,TLS,PRN,120,3.5,L
